Algorithms, percent of models, TP, FN, TN, FP, Precision, Recall, F-Measure, Accuracy
J48 + Random Tree, 0.5, 0.9921528488570454, 0.007847151142954622, 0.9347474747474748, 0.06525252525252526, 0.9382899625344976, 0.9921528488570454, 0.9644699691585491, 0.9776587605202754
J48 + Random Tree, 0.6, 0.9903332196065052, 0.009666780393494825, 0.9456228956228956, 0.05437710437710438, 0.9479500650766447, 0.9903332196065052, 0.9686782601821927, 0.9790444614469098
J48 + Random Tree, 0.7, 0.9883511234585953, 0.01164887654140469, 0.9533910533910533, 0.04660894660894661, 0.9549654639276036, 0.9883511234585953, 0.971371515339651, 0.9795241738623529
J48 + Random Tree, 0.7999999999999999, 0.9866939611054247, 0.01330603889457523, 0.9592171717171717, 0.04078282828282828, 0.9603077863130028, 0.9866939611054247, 0.9733220782301909, 0.9797564396837541
J48 + Random Tree, 0.8999999999999999, 0.9827514310625877, 0.017248568937412334, 0.9637485970819304, 0.03625140291806959, 0.9644246299331121, 0.9827514310625877, 0.9735017846656502, 0.977953469919805
J48 + Random Tree, 0.9999999999999999, 0.9750255885363357, 0.02497441146366428, 0.9673737373737373, 0.03262626262626263, 0.9676214928910026, 0.9750255885363357, 0.9713094309371562, 0.9730935985717929
Random Forest, 0.1, 0.9986352780620948, 0.001364721937905152, 0.6737373737373737, 0.32626262626262625, 0.7537450808868801, 0.9986352780620948, 0.8590788233792603, 0.9166029074215761
Random Forest, 0.2, 0.9979529170931423, 0.0020470829068577278, 0.7126262626262626, 0.2873737373737374, 0.7764196857078851, 0.9979529170931423, 0.8733569138946086, 0.9259117572047947
Random Forest, 0.30000000000000004, 0.9968156488115546, 0.003184351188445354, 0.7656565656565657, 0.23434343434343435, 0.8096562519419489, 0.9968156488115546, 0.8935406321650531, 0.9384510754059339
Random Forest, 0.4, 0.9954793585806891, 0.004520641419310816, 0.7984848484848485, 0.2015151515151515, 0.8316490595274187, 0.9954793585806891, 0.9062192499855295, 0.9457408824279521
Random Forest, 0.5, 0.9944046400545888, 0.005595359945411122, 0.8224242424242424, 0.17757575757575758, 0.8484823142649809, 0.9944046400545888, 0.9156663118502312, 0.9509818923743942
Random Forest, 0.6, 0.993290117138633, 0.006709882861366996, 0.8407407407407408, 0.15925925925925927, 0.861820011775115, 0.993290117138633, 0.9228964761782323, 0.9547734421491116
Random Forest, 0.7, 0.9919091485109909, 0.008090851489009114, 0.8578643578643579, 0.14213564213564214, 0.8746648780471922, 0.9919091485109909, 0.9296048076014696, 0.9580646336575946
Random Forest, 0.7999999999999999, 0.9908734220402593, 0.009126577959740702, 0.8707070707070707, 0.1292929292929293, 0.8845770281002918, 0.9908734220402593, 0.9347129025202998, 0.960533027288957
Random Forest, 0.8999999999999999, 0.9859357822510331, 0.01406421774896698, 0.8843995510662177, 0.11560044893378227, 0.8950552458819787, 0.9859357822510331, 0.938300056521202, 0.9602992433902916
Random Forest, 0.9999999999999999, 0.981985670419652, 0.018014329580348005, 0.8953535353535353, 0.10464646464646464, 0.903696512122663, 0.981985670419652, 0.941215898976402, 0.9601122162713593
J48 + Random Forest + SVM, 0.1, 1.0, 0.0, 0.22525252525252526, 0.7747474747474747, 0.5634604439385316, 1.0, 0.7207863123407353, 0.804386636062229
J48 + Random Forest + SVM, 0.2, 1.0, 0.0, 0.24444444444444444, 0.7555555555555555, 0.569620253164557, 1.0, 0.7258064516129034, 0.8092323386891099
J48 + Random Forest + SVM, 0.30000000000000004, 0.9997725463436825, 2.274536563175253E-4, 0.39057239057239057, 0.6094276094276094, 0.6212853899858655, 0.9997725463436825, 0.7663440799145169, 0.8459576638612599
J48 + Random Forest + SVM, 0.4, 0.9986352780620948, 0.001364721937905152, 0.5191919191919192, 0.4808080808080808, 0.6750074425456442, 0.9986352780620948, 0.8055318339815994, 0.8775822494261668
J48 + Random Forest + SVM, 0.5, 0.9974752644148754, 0.002524735585124531, 0.6022222222222222, 0.3977777777777778, 0.7149063533646439, 0.9974752644148754, 0.8328767331419569, 0.8976791634787045
J48 + Random Forest + SVM, 0.6, 0.9957352439440464, 0.004264756055953599, 0.6627946127946128, 0.33720538720538723, 0.7470214506743597, 0.9957352439440464, 0.8536310188514745, 0.9116721924679079
J48 + Random Forest + SVM, 0.7, 0.9935663108641615, 0.006433689135838573, 0.7101010101010101, 0.2898989898989899, 0.7741279100209291, 0.9935663108641615, 0.8702267650242849, 0.9219951178635187
J48 + Random Forest + SVM, 0.7999999999999999, 0.9912572500852951, 0.008742749914704879, 0.7462121212121212, 0.2537878787878788, 0.7961617029757234, 0.9912572500852951, 0.8830622042620799, 0.929386636062229
J48 + Random Forest + SVM, 0.8999999999999999, 0.9875279578452557, 0.012472042154744303, 0.7744107744107744, 0.2255892255892256, 0.8140416864341536, 0.9875279578452557, 0.8924316933934204, 0.9337187225481028
J48 + Random Forest + SVM, 0.9999999999999999, 0.9442852268850221, 0.05571477311497782, 0.796969696969697, 0.20303030303030303, 0.8230388260801392, 0.9442852268850221, 0.8795030015195373, 0.9070900280540678
